event_id,prog_id,event_class,event_title,event_venue,event_country,event_date,race_year,starters_count,finishers_count,finish_rate_pct,dnf_count,scorers_count,scoring_success_rate_pct,last_scoring_pos,zero_point_finishers,gap_1st_3rd_sec,gap_1st_10th_sec,gap_1st_30th_sec,gap_10th_30th_sec,gap_1st_last_scorer_sec,bike_pack1_size,winner_from_pack1_flag,top10_pack1_ratio_pct,scorers_pack1_ratio_pct,bike_expansion_ratio,bike_front_pack_retention,bike_solo_breakaway,swim_winner_deficit,swim_avg_pos_top10,swim_avg_pos_top30,swim_avg_pos_scorers,swim_weak_survivors_top30,swim_weak_scorers_count,swim_leader_survival_rate,swim_front_survivors,swim_dispersion_top30,bike_off_dispersion_top30,bike_off_dispersion_scorers,bike_gap_1st_10th,bike_gap_1st_30th,bike_move_up_count_top30,bike_move_up_count_scorers,run_dominance_top10,run_positions_gained_top10,run_positions_gained_top30,run_positions_gained_scorers,run_slowest_rank_top30,run_slowest_rank_scorers,run_gap_1st_10th,run_dominance_sec,run_winner_rank,run_fastest_deficit,rank_winner,rank_avg_top3,rank_avg_top10,rank_avg_top30,rank_avg_scorers,rank_upset_count_top30,rank_upset_count_scorers,rank_correlation,rank_volatility_top10,rank_volatility_scorers,rank_overperformers_top20,rank_winner_is_top_ranked,rank_podium_is_top_ranked
194875,673993,continental_cup,2025 Americas Triathlon Cup Manta,<NA>,Ecuador,2025-11-23,2025,0,0,,0,0,,,0,,,,,,0,0,,,,0,0,,,,,0,0,,0,,,,,,0,0,0,,,,,,,,,0.0,,,,,,0,0,,,,0,0,0
194207,674180,world_cup,2025 World Triathlon Cup Tongyeong,Tongyeong,"Korea, South",2025-11-15,2025,0,0,,0,0,,,0,,,,,,0,0,,,,0,0,,,,,0,0,,0,,,,,,0,0,0,,,,,,,,,0.0,,,,,,0,0,,,,0,0,0
194209,674185,world_cup,2025 World Triathlon Cup Miyazaki,Miyazaki,Japan,2025-11-09,2025,0,0,,0,0,,,0,,,,,,0,0,,,,0,0,,,,,0,0,,0,,,,,,0,0,0,,,,,,,,,0.0,,,,,,0,0,,,,0,0,0
194865,673633,continental_cup,2025 Americas Triathlon Cup Vina del Mar,Viña del Mar,Chile,2025-11-02,2025,0,0,,0,0,,,0,,,,,,0,0,,,,0,0,,,,,0,0,,0,,,,,,0,0,0,,,,,,,,,0.0,,,,,,0,0,,,,0,0,0
194206,673628,world_cup,2025 World Triathlon Cup Vina del Mar,Vina del Mar,Chile,2025-11-02,2025,0,0,,0,0,,,0,,,,,,0,0,,,,0,0,,,,,0,0,,0,,,,,,0,0,0,,,,,,,,,0.0,,,,,,0,0,,,,0,0,0
194273,673983,continental_cup,2025 Europe Triathlon Cup Alanya,Alanya,Türkiye,2025-10-25,2025,0,0,,0,0,,,0,,,,,,0,0,,,,0,0,,,,,0,0,,0,,,,,,0,0,0,,,,,,,,,0.0,,,,,,0,0,,,,0,0,0
194200,673862,world_cup,2025 World Triathlon Cup Brasil (location tbc),<NA>,Brazil,2025-10-25,2025,0,0,,0,0,,,0,,,,,,0,0,,,,0,0,,,,,0,0,,0,,,,,,0,0,0,,,,,,,,,0.0,,,,,,0,0,,,,0,0,0
194737,674368,continental_cup,2025 Asia Triathlon Cup Kota Kinabalu,Kota Kinabalu,Malaysia,2025-10-23,2025,0,0,,0,0,,,0,,,,,,0,0,,,,0,0,,,,,0,0,,0,,,,,,0,0,0,,,,,,,,,0.0,,,,,,0,0,,,,0,0,0
194997,676055,continental_cup,2025 Asia Triathlon Cup Chongqing,Changshou District,China,2025-10-18,2025,35,27,77.1,8,16,59.3,16,11,24,242,,,542,9,1,80.0,56.3,5.59,9,0,0.0,8.0,16.1,11.6,1,0,80.0,7,46.96,262.41,87.83,34.0,,3,3,8,0.1,-0.1,-0.3,27,19,209.0,17.0,1,0.0,44,70.0,163.3,302.9,224.6,19,16,0.82470317515016367,121.6,154.7,18,1,1
188992,674811,wtcs,2025 World Triathlon Championship Finals Wollongong,Wollongong,Australia,2025-10-15,2025,52,49,94.2,3,47,95.9,47,2,40,91,277,186,466,7,1,50.0,14.9,3.56,8,0,0.0,13.1,16.4,24.2,2,16,90.0,8,11.83,42.14,89.61,228.0,64.0,5,8,7,3.8,0.5,-1.0,47,47,90.0,20.0,3,58.0,1,5.0,9.1,25.0,34.5,17,27,0.5637279823678305,9.4,27.2,10,1,1
194905,673978,continental_cup,2025 Europe Triathlon Cup Tenerife - Santa Cruz,Tenerife - Santa Cruz,Spain,2025-10-12,2025,70,63,90.0,7,57,90.5,57,6,15,39,84,45,240,54,1,100.0,91.2,0.39,5,0,28.0,34.0,34.3,31.7,15,29,30.0,9,7.86,3.06,11.91,5.0,9.0,20,22,9,6.3,2.2,-1.4,35,60,45.0,7.0,1,0.0,146,246.7,252.6,331.5,400.9,29,50,0.54890194150368443,89.7,206.0,19,0,0
194317,673998,continental_cup,2025 Africa Triathlon Cup Kilifi,Kilifi,Kenya,2025-10-12,2025,30,23,76.7,7,10,43.5,10,13,10,187,,,187,6,1,60.0,60.0,1.98,10,0,10.0,6.7,12.7,6.7,0,0,90.0,8,380.19,753.54,52.35,152.0,,0,0,9,0.0,0.4,0.0,24,12,135.0,4.0,1,0.0,150,138.3,250.7,334.5,250.7,14,10,0.66565715841292816,171.3,171.3,14,0,0
194740,673973,continental_cup,2025 Asia Triathlon Cup Wuxi,Wuxi,China,2025-10-11,2025,0,0,,0,0,,,0,,,,,,0,0,,,,0,0,,,,,0,0,,0,,,,,,0,0,0,,,,,,,,,0.0,,,,,,0,0,,,,0,0,0
194272,673967,continental_cup,2025 Europe Triathlon Cup Ceuta,Ceuta,Spain,2025-10-05,2025,65,59,90.8,6,47,79.7,47,12,29,51,97,46,226,47,1,100.0,100.0,0.41,2,0,11.0,22.0,25.3,26.3,11,19,63.6,9,12.73,5.24,5.66,,,11,15,10,10.4,4.1,-1.2,32,56,45.0,9.0,1,0.0,260,439.3,507.7,495.1,546.5,20,33,0.30826045936077645,217.7,211.6,14,0,0
194205,674175,world_cup,2025 World Triathlon Cup Rome,Rome,Italy,2025-10-04,2025,59,58,98.3,1,53,91.4,53,5,2,16,74,58,229,37,1,100.0,69.8,1.1,4,0,24.0,22.5,23.3,28.2,9,23,60.0,11,11.55,12.68,39.89,5.0,11.0,11,13,9,9.2,1.8,-0.7,37,54,16.0,3.0,1,0.0,109,95.0,118.5,143.0,198.3,30,53,0.48783940472679566,54.3,139.2,20,0,0
194295,674353,continental_cup,2025 Africa Triathlon Cup and Pan-Arab Championships Hurghada,Hurghada,Egypt,2025-10-03,2025,42,35,83.3,7,25,71.4,25,10,35,71,395,324,186,26,1,100.0,100.0,4.39,4,0,2.0,17.7,19.5,16.6,5,1,70.0,10,18.07,79.24,6.19,,,11,11,10,7.0,-0.4,-0.6,33,31,63.0,26.0,1,0.0,285,225.0,301.5,379.0,372.2,24,22,0.37507524329800868,207.8,215.6,18,0,0
194743,673957,continental_cup,2025 Asia Triathlon Cup Yilan,Yilan,Chinese Taipei,2025-09-26,2025,57,56,98.2,1,25,44.6,25,31,27,115,297,182,197,10,1,90.0,40.0,3.26,9,0,7.0,6.6,18.1,14.8,4,2,100.0,12,16.58,53.99,31.16,8.0,172.0,2,2,8,1.4,0.3,-0.2,45,37,113.0,10.0,1,0.0,142,125.3,232.0,349.7,316.8,26,24,0.80026942687790115,150.9,197.9,19,0,1
194853,674137,wtcs,2025 World Triathlon Championship Series Weihai,Weihai,China,2025-09-26,2025,37,35,94.6,2,35,100.0,35,0,32,85,280,195,383,4,1,30.0,11.4,1.22,4,0,16.0,16.3,18.3,18.7,4,6,72.7,17,26.06,31.92,31.57,,85.0,5,5,8,7.0,1.6,-0.6,30,35,76.0,2.0,3,77.0,125,49.7,53.4,66.4,75.5,30,35,0.45719975047176054,48.6,62.1,20,0,1
194741,674345,continental_cup,2025 Asia Triathlon Cup Turkestan,Turkestan,Kazakhstan,2025-09-26,2025,20,18,90.0,2,16,88.9,16,2,37,161,,,476,7,1,60.0,43.8,5.38,7,0,32.0,6.6,9.3,8.6,0,0,100.0,4,28.56,153.77,100.51,102.0,,0,0,8,1.2,-0.1,0.0,18,17,57.0,8.0,3,108.0,141,204.0,272.8,361.3,356.9,16,14,0.49431727406422149,191.9,221.5,16,0,1
194294,673942,continental_cup,2025 Africa Triathlon Cup Taghazout,Taghazout,Morocco,2025-09-21,2025,50,47,94.0,3,36,76.6,36,11,16,37,191,154,254,25,1,90.0,69.4,4.15,7,0,18.0,11.0,15.8,18.9,3,8,100.0,27,6.98,28.99,61.77,8.0,,5,5,7,2.4,-1.1,-1.4,43,45,25.0,8.0,1,0.0,,,,,,0,0,,,,0,0,0
194744,674340,continental_cup,2025 Asia Triathlon Cup Gamagori,"Gamagori Chamber of Commerce and Industry, Gamagori Ryokuchi Pier Park",Japan,2025-09-20,2025,70,66,94.3,4,44,66.7,44,22,5,96,196,100,251,10,1,90.0,22.7,2.75,9,0,0.0,7.4,20.9,25.2,7,15,81.8,11,14.35,39.4,48.54,9.0,107.0,8,10,6,0.2,1.3,0.2,44,55,52.0,,1,4.0,,,,,,0,0,,,,0,0,0
194204,674170,world_cup,2025 World Triathlon Cup Valencia,<NA>,Spain,2025-09-20,2025,0,0,,0,0,,,0,,,,,,0,0,,,,0,0,,,,,0,0,,0,,,,,,0,0,0,,,,,,,,,0.0,,,,,,0,0,,,,0,0,0
194197,674127,wtcs,2025 World Triathlon Championship Series Karlovy Vary,Karlovy Vary,Czech Republic,2025-09-14,2025,51,36,70.6,15,34,94.4,34,2,24,79,248,169,437,3,1,30.0,8.8,1.39,7,0,8.0,12.7,21.9,22.6,9,11,80.0,10,25.46,35.41,64.18,43.0,172.0,13,13,8,1.6,-0.5,-0.5,34,35,77.0,19.0,7,167.0,7,4.0,17.3,51.1,66.0,22,26,0.60921672527921622,13.7,75.8,16,0,2
194442,673932,continental_cup,2025 Africa Triathlon Cup Oran,Oran,Algeria,2025-09-13,2025,23,23,100.0,0,16,69.6,16,7,36,75,,,238,9,1,60.0,56.3,5.67,6,0,7.0,9.7,11.5,9.1,0,0,100.0,12,15.73,89.13,40.15,55.0,,0,0,9,2.8,-0.1,-0.1,23,22,17.0,15.0,2,62.0,97,226.0,293.1,393.1,349.4,18,16,0.80025307339646434,148.6,186.3,16,1,1
194733,674335,continental_cup,2025 Asia Triathlon Cup Tokyo Uminomori,Tokyo Uminomori,Japan,2025-09-13,2025,0,0,,0,0,,,0,,,,,,0,0,,,,0,0,,,,,0,0,,0,,,,,,0,0,0,,,,,,,,,0.0,,,,,,0,0,,,,0,0,0
194873,673927,continental_cup,2025 Americas Triathlon Cup Santa Marta,<NA>,Colombia,2025-09-06,2025,0,0,,0,0,,,0,,,,,,0,0,,,,0,0,,,,,0,0,,0,,,,,,0,0,0,,,,,,,,,0.0,,,,,,0,0,,,,0,0,0
194732,673922,continental_cup,2025 Asia Triathlon Cup Cholpon-Ata,Cholpon-Ata,Kyrgyzstan,2025-09-06,2025,0,0,,0,0,,,0,,,,,,0,0,,,,0,0,,,,,0,0,,0,,,,,,0,0,0,,,,,,,,,0.0,,,,,,0,0,,,,0,0,0
194996,676011,wtcs,2025 World Triathlon Championship Series French Riviera,French Riviera,France,2025-08-31,2025,54,51,94.4,3,46,90.2,46,5,27,73,122,49,237,10,1,80.0,21.7,2.25,8,0,0.0,11.5,21.1,25.4,8,18,90.0,13,11.69,26.32,28.78,7.0,,5,7,5,3.2,1.6,-0.2,39,47,24.0,3.0,1,0.0,1,3.3,25.7,42.9,77.5,23,35,0.62121836789391549,47.1,92.0,14,1,2
194292,674315,continental_cup,2025 Africa Triathlon Cup Al Alamein,Al Alamein,Egypt,2025-08-16,2025,0,0,,0,0,,,0,,,,,,0,0,,,,0,0,,,,,0,0,,0,,,,,,0,0,0,,,,,,,,,0.0,,,,,,0,0,,,,0,0,0
194968,675220,continental_cup,2025 Americas Triathlon Cup Kelowna,Kelowna City Park,Canada,2025-08-09,2025,63,61,96.8,2,47,77.0,47,14,10,50,136,86,252,38,1,90.0,78.7,1.23,7,0,14.0,12.1,20.0,25.6,8,19,90.0,7,11.21,13.75,38.59,,,6,10,9,1.2,0.9,-0.8,37,58,47.0,6.0,1,0.0,154,87.3,112.9,316.7,381.3,29,36,0.82826809765645848,55.6,254.7,20,0,1
194891,674257,continental_cup,2025 Asia Triathlon Cup Kokshetau,Kokshetau,Kazakhstan,2025-07-27,2025,0,0,,0,0,,,0,,,,,,0,0,,,,0,0,,,,,0,0,,0,,,,,,0,0,0,,,,,,,,,0.0,,,,,,0,0,,,,0,0,0
194870,674270,continental_cup,2025 Americas Triathlon Cup Montreal,Parc Jean-Drapeau,Canada,2025-07-19,2025,70,66,94.3,4,51,77.3,51,15,17,51,108,57,247,42,1,100.0,78.4,0.39,6,0,10.0,19.0,25.2,27.5,11,21,45.5,10,11.79,4.55,35.21,,,14,16,9,5.7,2.4,-0.1,35,55,57.0,14.0,1,0.0,106,97.3,123.7,266.9,324.6,30,48,0.69138652540371226,53.3,194.9,20,0,1
194193,674119,wtcs,2025 World Triathlon Championship Series Hamburg,Hamburg,Germany,2025-07-12,2025,55,49,89.1,6,44,89.8,44,5,29,66,116,50,233,11,1,70.0,25.0,1.97,7,0,3.0,13.0,20.2,24.3,8,17,81.8,11,11.15,21.97,31.0,,39.0,8,10,8,2.5,-0.3,-0.8,38,49,34.0,7.0,1,0.0,2,50.3,30.3,39.0,49.6,22,31,0.35730228282215565,45.7,55.7,16,1,1
194916,673902,continental_cup,2025 Americas Triathlon Cup Magog,Magog,Canada,2025-07-12,2025,70,66,94.3,4,46,69.7,46,20,11,46,123,77,262,1,0,0.0,0.0,0.68,2,1,42.0,16.8,23.7,25.6,10,18,70.0,7,15.7,10.62,16.14,,45.0,12,15,10,8.2,3.2,-0.3,32,57,45.0,2.0,1,0.0,355,206.0,184.9,324.7,378.5,29,42,0.46117275373912558,98.9,234.9,19,0,1
194288,673897,continental_cup,2025 Africa Triathlon Premium Cup Larache,Larache,Morocco,2025-07-06,2025,62,50,80.6,12,36,72.0,36,14,15,78,197,119,266,4,1,30.0,11.1,1.63,7,0,9.0,15.5,22.4,25.2,10,15,81.8,9,22.83,37.21,50.76,74.0,,13,14,7,2.1,0.2,0.6,42,46,37.0,3.0,5,84.0,126,189.0,317.9,441.4,465.0,26,31,0.43512619646250139,196.1,232.4,18,0,0
194203,674165,world_cup,2025 World Triathlon Cup Tiszaujvaros,Tiszaujvaros,Hungary,2025-07-05,2025,71,67,94.4,4,59,88.1,59,8,32,64,,,245,3,0,0.0,5.1,1.6,4,0,3.0,17.6,26.9,30.8,11,29,70.0,4,18.98,30.34,37.67,,88.0,4,21,8,17.5,19.9,-1.7,46,60,9.0,2.0,2,92.0,5,54.7,87.3,136.1,223.6,30,56,0.62140326998237627,80.5,205.1,20,1,1
194287,673894,continental_cup,2025 Africa Triathlon Cup Lake Kivu,Lake Kivu,Rwanda,2025-07-05,2025,0,0,,0,0,,,0,,,,,,0,0,,,,0,0,,,,,0,0,,0,,,,,,0,0,0,,,,,,,,,0.0,,,,,,0,0,,,,0,0,0
194931,674160,world_cup,2025 World Triathlon Cup Saidia,Saïdia,Morocco,2025-06-29,2025,40,33,82.5,7,26,78.8,26,7,18,100,635,535,498,3,0,30.0,11.5,2.79,8,0,25.0,14.2,17.5,15.9,5,2,90.9,10,32.6,90.87,77.32,47.0,257.0,7,7,8,2.3,-0.4,-0.1,33,26,99.0,1.0,1,0.0,181,69.3,82.7,214.4,173.4,30,26,0.58120981154896545,58.2,187.8,20,0,1
194202,674151,world_cup,2025 World Triathlon Cup Huatulco,Bahía de Santa Cruz Huatulco,Mexico,2025-06-22,2025,49,45,91.8,4,35,77.8,35,10,18,52,150,98,255,1,1,10.0,2.9,1.0,4,1,0.0,18.4,19.1,19.7,5,8,72.7,11,9.86,9.84,37.37,,,9,9,8,5.9,-0.8,-0.7,35,38,4.0,6.0,9,52.0,99,140.7,134.2,169.4,177.5,30,35,0.45429014927600914,53.6,82.5,20,0,0
194726,673887,continental_cup,2025 Asia Triathlon Cup Gamagori,Gamagori,Japan,2025-06-22,2025,0,0,,0,0,,,0,,,,,,0,0,,,,0,0,,,,,0,0,,0,,,,,,0,0,0,,,,,,,,,0.0,,,,,,0,0,,,,0,0,0
194263,673882,continental_cup,2025 Europe Triathlon Premium Cup Holten,Holten,Netherlands,2025-06-21,2025,70,70,100.0,0,63,90.0,63,7,16,35,88,53,242,33,1,100.0,52.4,1.46,4,0,21.0,17.9,24.8,32.8,9,32,60.0,10,10.68,15.57,20.38,,,6,13,7,6.8,5.8,-1.0,41,66,31.0,12.0,1,0.0,169,167.7,199.1,248.3,348.2,30,58,0.4992960279801793,167.6,223.9,20,0,0
194260,673877,continental_cup,2025 Europe Triathlon Cup Wels,Wels,Austria,2025-06-14,2025,71,65,91.5,6,59,90.8,59,6,2,28,78,50,242,45,1,80.0,76.3,0.72,4,0,18.0,21.6,28.9,28.7,12,25,58.3,3,8.64,6.19,33.27,,,11,15,8,6.6,2.8,-3.7,29,60,26.0,7.0,1,0.0,156,174.3,216.6,300.2,359.4,30,57,0.55330998813538934,104.6,195.7,20,0,1
194725,673857,continental_cup,2025 Asia Triathlon Cup Taizhou,Jiangyan District,China,2025-06-14,2025,68,48,70.6,20,26,54.2,26,22,60,204,603,399,519,29,1,100.0,92.3,2.5,8,0,6.0,13.1,20.4,17.9,7,5,100.0,12,34.32,85.87,45.19,15.0,131.0,8,7,9,2.4,1.2,1.1,33,32,194.0,3.0,1,0.0,62,130.3,273.5,415.0,388.9,26,23,0.59528873945714667,201.2,252.3,19,0,1
194890,674133,continental_cup,2025 Asia Triathlon Cup Burabay, Burabay,Kazakhstan,2025-06-14,2025,39,38,97.4,1,27,71.1,27,11,24,150,711,561,453,7,0,60.0,25.9,2.66,7,0,81.0,11.3,15.6,14.3,2,0,100.0,9,37.47,99.65,38.39,,427.0,2,2,9,2.8,-0.4,0.2,36,34,143.0,4.0,1,0.0,100,395.0,290.7,333.3,330.6,27,25,0.52266786537909027,239.1,201.5,20,0,1
194258,673852,continental_cup,2025 Europe Triathlon Cup Rzeszow,Rzeszow,Poland,2025-06-07,2025,70,51,72.9,19,43,84.3,43,8,59,150,317,167,510,5,1,40.0,11.6,2.53,7,0,2.0,11.3,22.2,25.8,6,13,60.0,6,27.21,68.75,70.93,90.0,188.0,9,15,7,1.0,-2.5,-5.4,27,36,,34.0,4,86.0,172,199.3,286.2,359.4,414.2,29,42,0.45035586230563257,196.6,207.2,19,0,1
194257,673847,continental_cup,2025 Europe Triathlon Cup Kielce,Kielce,Poland,2025-06-01,2025,120,114,95.0,6,59,51.8,59,55,6,19,73,54,106,23,1,80.0,37.3,0.33,4,0,25.0,29.9,29.3,33.9,10,25,66.7,12,7.82,2.59,22.45,,26.0,13,16,8,4.3,-4.3,-5.1,44,55,24.0,,1,7.0,342,212.0,259.4,306.5,398.0,28,53,0.55745864165120473,146.3,186.2,19,0,0
194971,675539,wtcs,2025 World Triathlon Championship Series Alghero,Alghero,Italy,2025-05-31,2025,43,32,74.4,11,32,100.0,32,0,64,140,401,261,476,9,1,60.0,25.0,4.42,7,0,7.0,15.0,20.1,19.8,8,8,63.6,15,11.01,48.62,47.8,107.0,114.0,6,6,7,4.2,-0.9,-1.3,30,32,34.0,6.0,3,109.0,4,3.0,21.3,54.0,51.3,25,25,0.33833950610533176,20.3,56.8,15,0,3
194866,673736,continental_cup,2025 Americas Triathlon Cup Salinas,SALINAS,Ecuador,2025-05-31,2025,41,39,95.1,2,30,76.9,30,9,12,63,182,119,182,17,1,80.0,56.7,1.01,8,0,16.0,13.9,15.6,15.6,2,2,100.0,9,17.51,17.75,17.75,18.0,53.0,5,5,8,4.5,-1.0,-1.0,35,35,60.0,1.0,1,0.0,268,241.3,289.0,513.9,513.9,27,27,0.57311139344676643,88.4,243.2,18,0,1
194724,674229,continental_cup,2025 Asia Triathlon Cup Osaka Castle,Osaka Castle,Japan,2025-05-25,2025,72,65,90.3,7,48,73.8,48,17,18,62,140,78,259,2,0,20.0,4.2,1.32,5,0,21.0,22.2,20.6,25.5,8,17,90.0,4,14.53,19.18,43.27,,64.0,7,12,8,4.6,1.9,-0.4,40,57,58.0,8.0,1,0.0,38,88.3,164.3,253.5,332.4,29,41,0.59227512927446735,121.0,246.3,20,1,1
194255,673837,continental_cup,2025 Europe Triathlon Cup Olsztyn,Olsztyn,Poland,2025-05-24,2025,70,65,92.9,5,58,89.2,58,7,13,28,85,57,229,39,1,70.0,63.8,0.43,4,0,31.0,22.1,24.3,29.1,9,24,36.4,12,11.98,5.12,31.45,6.0,,12,18,7,6.4,0.6,-4.6,32,52,,7.0,1,0.0,305,263.0,255.1,313.6,394.8,28,52,0.54070832870239116,83.7,200.1,19,0,0
194215,674142,world_cup,2025 World Triathlon Cup Samarkand,Samarkand,Uzbekistan,2025-05-24,2025,60,54,90.0,6,45,83.3,45,9,25,94,264,170,491,5,0,20.0,11.1,1.14,6,0,71.0,21.9,20.2,26.4,8,19,100.0,8,32.85,37.41,77.57,,48.0,9,12,9,5.8,1.1,-0.4,39,48,96.0,15.0,1,0.0,28,99.7,123.5,148.7,185.7,30,45,0.443923973004777,68.4,135.5,20,0,0
194192,674074,wtcs,2025 World Triathlon Championship Series Yokohama,Yokohama,Japan,2025-05-17,2025,49,42,85.7,7,40,95.2,40,2,21,103,279,176,480,4,0,10.0,10.0,4.01,6,1,2.0,11.5,18.4,21.2,5,11,90.0,10,16.3,65.29,84.55,,,3,6,8,3.9,0.4,-0.9,37,42,100.0,6.0,1,0.0,6,7.3,15.9,41.1,51.8,24,34,0.60449287682087793,13.9,37.6,16,0,1
194867,673832,continental_cup,2025 Americas Triathlon Cup Ixtapa,"Boulevard Ixtapa ,Infront of Fontan Hotel",Mexico,2025-05-17,2025,67,61,91.0,6,39,63.9,39,22,12,70,191,121,267,17,1,90.0,43.6,1.35,7,0,11.0,14.8,22.5,24.2,10,14,81.8,3,18.24,24.64,25.58,,58.0,10,10,7,2.4,0.0,-0.5,41,49,17.0,2.0,1,0.0,213,192.3,387.4,479.1,509.0,24,27,0.56865192577236257,246.9,244.5,17,0,1
194723,673827,continental_cup,2025 Asia Triathlon Cup Lianyungang,Lianyungang,China,2025-05-17,2025,70,61,87.1,9,38,62.3,38,23,6,103,376,273,581,3,0,20.0,7.9,1.13,7,0,24.0,24.5,23.6,25.0,11,14,81.8,1,14.74,16.62,82.39,,55.0,13,15,9,3.2,0.2,-1.0,34,47,103.0,31.0,1,0.0,181,144.7,276.5,363.7,355.1,28,35,0.54567326377312253,180.2,236.7,19,0,0
194854,674111,world_cup,2025 World Triathlon Cup Chengdu,Chengdu,China,2025-05-10,2025,56,51,91.1,5,49,96.1,49,2,5,31,136,105,444,2,0,0.0,4.1,0.37,4,0,77.0,23.4,21.3,25.2,9,18,70.0,3,26.64,9.79,51.37,53.0,,10,13,10,11.1,2.4,-1.6,33,51,33.0,3.0,1,0.0,57,88.3,134.4,118.3,151.6,30,48,0.19669277371590416,92.3,140.9,20,0,0
194441,673822,continental_cup,2025 Africa Triathlon Cup Tipaza,C.E.T Complexe touristique,Algeria,2025-05-10,2025,38,32,84.2,6,26,81.3,26,6,4,36,512,476,216,1,0,10.0,3.8,5.89,8,0,17.0,12.0,16.6,15.2,3,1,100.0,11,14.31,84.28,30.4,16.0,325.0,8,8,9,3.1,-0.7,-0.8,31,26,51.0,3.0,1,0.0,719,524.0,370.3,532.7,522.2,23,21,0.63633568229122683,192.3,213.1,16,0,0
